이름	위도	경도	현대지명
갈리아	47.0	2.5	프랑스
갈리아 속주	46.2	2.2	프랑스
갈리아키살피나	45.0	11.0	이탈리아 북부
갈릴리	32.76	35.53	갈릴리, 이스라엘/레바논
게르마니아	51	10	독일 지역
곤디샤푸르	32.28	48.51	선데이샤푸르, 이란
골고다	31.7786	35.2294	성묘교회, 예루살렘 구시가
그리스	39.0	22.0	그리스
나르본느	43.1833	3.0	나르본느, 프랑스
나일 강	30.1725	31.14	나일 강 삼각주 기점(카이로 인근), 이집트
누미디아	36.3675	6.6119	알제리
니샤푸르	36.21	58.76	니샤푸르, 이란
니코메디아	40.7667	29.9167	이즈미트, 튀르키예
니코폴리스	43.7	25.0	터누, 루마니아
님	43.8384	4.3604	님, 프랑스
다키아	47.5	22.5	루마니아
달마티아	43.5396	16.4834	달마티아, 크로아티아
델피	38.4822	22.5014	델포이, 포키스, 그리스
도나우 강	48.0	17.0	다뉴브 강, 중부 유럽
독일	52.5	7.5	독일
동 일리리쿰	44.5	18.0	보스니아·세르비아
드레파나	38.015	12.5125	트라파니, 이탈리아
디르하키움	41.32	19.45	두레스, 알바니아
라리사	39.6417	22.4167	라리사, 그리스
라벤나	44.4157	12.1966	라벤나, 이탈리아
라인 강	49.9994	8.2736	마인츠(Mogontiacum), 독일
랑그르	47.861	5.346	랑그르, 프랑스
러시아	48	35	러시아 지역
렙티스 마그나	32.6392	14.2906	렙다, 리비아
로도스 섬	36.1667	28.0	로도스, 그리스
로마	41.8917	12.4862	로마, 이탈리아
로마 제국	41.9028	12.4964	유럽·북아프리카·중동
론 강	44.5	5.0	프랑스
루마니아	44.5	25.0	루마니아
루비콘 강	44.1681	12.4431	피우미치노 강, 사비냐노 술 루비코네 인근, 이탈리아
루카	43.8417	10.5028	루카, 토스카나, 이탈리아
리미니	44.0603	12.5754	리미니, 이탈리아
리에티	42.4058	12.8626	리에티, 이탈리아
마르마라해	40.8	28.0	튀르키예
마르브	37.65	61.87	마리, 투르크메니스탄
마르살라 만	37.7981	12.4342	마르살라, 이탈리아
마르스 광장	41.8978	12.4772	로마 캄포 마르치오, 이탈리아
마르키아노폴리스	43.2252	27.585	데브냐, 불가리아
메디나	24.4744	39.6067	메디나, 사우디아라비아
메리다	38.92	-6.34	메리다, 스페인
메소포타미아	33.7	43.5	이라크·시리아
메시나	38.1923	15.5566	메시나, 시칠리아 이탈리아
메카	21.4225	39.8262	메카, 사우디아라비아
모이시아	43.5	23.5	불가리아·세르비아
문다 평원	37.35	-5.2167	라 란테후엘라 인근 추정, 안달루시아, 스페인
밀라노	45.4643	9.1895	밀라노, 이탈리아
바그다드	33.3153	44.3661	바그다드, 이라크
바르셀로나	41.3887	2.1589	바르셀로나, 스페인
바빌론	32.54	44.42	힐라, 이라크
발칸	42.5	21.0	발칸 반도, 동유럽
발칸 반도	42.5	21.0	발칸, 남동유럽
발트해	58.0	20.0	발트해 (북유럽)
발흐	36.77	66.87	발흐, 아프가니스탄
베네벤토	41.1307	14.7781	베네벤토, 이탈리아
베누스 신전	41.8952	12.4844	로마, 이탈리아
베로나	45.4333	10.9833	베로나, 이탈리아
베르가모	45.695	9.67	베르가모, 이탈리아
베지에	43.3412	3.214	베지에, 프랑스
보르도	44.84	-0.57	보르도, 프랑스
보스포루스 해협	41.0086	28.9802	보스포루스 해협, 튀르키예
본 곶	50.72	1.57	불로뉴쉬르메르, 프랑스
북아프리카	35.0	5.0	알제리·튀니지·리비아
브레시아	45.5356	10.2147	브레시아, 이탈리아
브리타니아	51.5133	-0.0889	영국
브린디시	40.633	17.933	브린디시, 이탈리아
비샤푸르	28.9	52.8	카즈룬, 이란
비수아 강	54.3617	18.9519	비수와 강, 폴란드
비엔나	48.2108	16.3703	빈, 오스트리아
비잔티움	41.0085	28.9799	이스탄불, 튀르키예
사군툼	39.68	-0.2783	사곤토, 스페인
사르데냐 섬	40.0	9.0	사르데냐, 이탈리아
사브라타	32.7933	12.4885	사브라타, 리비아
사산조 페르시아	33.0936	44.5806	살만 팍, 이라크 (바그다드 남동 35km)
산비탈레 성당	44.4136	12.201	라벤나, 이탈리아
성 로마누스 교회	41.008	28.98	콘스탄티노플, 현 이스탄불
성 로마누스 문	41.02	28.97	콘스탄티노플 성벽, 터키
성 소피아 성당	41.0083	28.98	이스탄불 파티흐구, 튀르키예
세비야	37.3828	-5.9732	세비야, 스페인
셀리누스	37.586	12.8286	셀리눈테, 시칠리아
소아시아	39.0	35.0	아나톨리아, 터키
수사	32.19	48.26	수산, 이란
스칸디나비아 반도	63.0	14.0	노르웨이·스웨덴·핀란드 북서부
스키타이	46.6887	29.4751	북흑해 지역
스트라스부르	48.58	7.75	스트라스부르, 프랑스
스폴레토	42.7352	12.7403	스폴레토, 이탈리아
시라쿠사	37.0639	15.293	시라쿠사, 이탈리아
시리아	36.2	36.15	시리아
시칠리아	37.5	14.0	시칠리아 섬, 이탈리아
아그드	43.3108	3.4758	아그드, 프랑스
아그리젠토 시	37.3125	13.575	아그리젠토, 이탈리아
아드리아해	43.5	16.0	이탈리아·알바니아·크로아티아
아라비아	23.0	46.0	아라비아 반도 (사우디아라비아 등)
아르메니아	40.0691	45.0382	아르메니아
아를	43.677	4.6256	아를, 프랑스
아스완 제1폭포	24.078	32.878	아스완, 이집트
아시아	37.9411	27.3419	아나톨리아 서부, 튀르키예 (대표점: 에페소스)
아테네	37.9838	23.7275	아테네, 그리스
아펜니노 산맥	43.2757	12.5758	이탈리아
아풀리아	41.0052	16.5077	아풀리아, 이탈리아
아프라시아브	39.6714	66.9878	사마르칸트 북부 아프라시아브 유적, 우즈베키스탄
아프리카	36.8518	10.3205	튀니지
안티오키아	36.2066	36.1572	안타키아, 튀르키예
안티움	41.4479	12.6291	안치오, 이탈리아
알레시아	47.5392	4.5006	알리세-생트-렌, 프랑스
알렉산드리아	31.1982	29.9079	알렉산드리아, 이집트
알리칸테	38.3453	-0.4831	알리칸테, 스페인
알프스	45.6806	6.8839	프랑스·스위스·이탈리아
에게해	39.0	25.0	에게해 (그리스·튀르키예 사이)
에데사	37.163	38.7855	우르파(샨르우르파), 튀르키예
에메사	34.724	36.714	홈스, 시리아
에브로 강	40.72	-1.0	스페인
에스파냐	40.4636	-3.749	스페인
에크바타나	34.81	48.52	하마단, 이란
에페이로스	39.4	20.4	에페이로스, 그리스
예루살렘	31.7789	35.2256	예루살렘
오데르 강	53.672	14.5236	오데르 강, 폴란드
오리엔트	36.2047	36.1817	시리아·소아시아 동부 일대 (대표점: 안타키아, 튀르키예)
오판토 강	41.2303	16.02	오판토 강, 이탈리아
