year,year_label,event
-753,기원전 753년,로물루스의 로마 건국
-509,기원전 509년,왕정 폐지. 공화제 시작
-60,기원전 60년,카이사르•폼페이우스•크라수스의 제1차 삼두정치
-53,기원전 53년,"크라수스, 파르티아 원정에서 전사"
-44,기원전 44년,카이사르 암살
-27,기원전 27년,옥타비아누스가 '아우구스투스'의 칭호를 받고 원
9,서기 9년,"수정개혁 개시 로마, 토이토부르크 전투에서 게르만인에게 패배"
30,서기 30년,예수 그리스도의 처형
41,서기 41년,칼리굴라 암살
54,서기 54년,네로 즉위
66,서기 66년,제1차 유대 전쟁
79,서기 79년,"베수비오 화산 폭발, 폼페이 매몰"
80,서기 80년,로마의 콜로세움 완성
96,서기 96년,네르바 즉위(5현제 시대개막)
98,서기 98년,트라야누스 즉위
117,서기 117년,로마 제국 최대의 판도 형성
138,서기 138년,하드리아누스 즉위 안토니누스 피우스 즉위
161,서기 161년,마르쿠스 아우렐리우스 안토니누스 즉위
212,서기 212년,"카라칼라 황제, 제국 영토 내의 모든 자유민에게"
216,서기 216년,로마 시민권 부여
218,서기 218년,카라칼라 황제 목욕탕 건설
235,서기 235년,엘라가발루스 즉위
250,서기 250년,군인 황제 시대 시작(3세기의 위기)
260,서기 260년,"데키우스 황제에 의한 기독교도 박해 발레리아누스 황제, 페르시아 왕 샤푸르 1세에게"
284,서기 284년,"체포 디오클레티아누스 즉위, 전제군주제 시작"
293,서기 293년,4분할 통치 실시
303,서기 303년,"디오클레티아누스 황제, 기독교도 탄압 개시"
313,서기 313년,콘스탄티누스 1세 즉위 밀라노 칙령에 의한 기독교 공인
330,서기 330년,콘스탄티누스 황제 신수도 콘스탄티노플 천도
361,서기 361년,율리아누스 즉위
375,서기 375년,게르만 민족의 대이동
379,서기 379년,테오도시우스 1세 즉위
391,서기 391년,"테오도시우스 황제, 기독교 외의 종교 금지"
395,서기 395년,로마 제국 동서로 분열
410,서기 410년,서고트 왕 알라리크의 로마 점령
452,서기 452년,훈족 왕 아틸라의 이탈리아 침공
455,서기 455년,반달족의 로마 점령
476,서기 476년,서로마 제국 멸망
527,서기 527년,유스티니아누스 1세 즉위
529,서기 529년,「로마법 대전」 편찬 개시
532,서기 532년,콘스탄티노플에서 니카의 반란 발발
537,서기 537년,"유스티니아누스 1세, 성 소피아 성당 재건"
540,서기 540년,비잔틴 제국과 사산조 페르시아의 전쟁 재개
578,서기 578년경,아바르족・슬라브족에 의한 그리스 도시 파괴 시작
610,서기 610년,"헤라클리우스, 포카스 타도"
618,서기 618년,콘스탄티노플 시민에 대한 밀 배급(빵) 폐지
626,서기 626년,페르시아 군과 아바르・슬라브 군의 콘스탄티노플 포위
636,서기 636년,야르무크 호반의 전투. 비잔틴 군이 아랍 군에게 패배
655,서기 655년,비잔틴 해군이 아랍 해군에게 패배
674,서기 674년,"아랍 군, 콘스탄티노플 포위"
680,서기 680년,불가리아 제국 수립
717,서기 717년,레오 3세 즉위
726,서기 726년,"아랍 군, 콘스탄티노플 포위 레오 3세, 성상 숭배 금지 표명"
751,서기 751년,"라벤나, 롬바르드족에게 점령"
797,서기 797년,"제2회 니케아 공의회, 성상 숭배 부활 이레네, 비잔틴 제국 최초의 여제 탄생"
815,서기 815년,제2차 성상 숭배 금지 운동 개시
860,서기 860년,"성상 숭배의 최종적 부활 키예프루시, 콘스탄티노플 공격"
867,서기 867년,바실리우스 1세 즉위. 마케도니아 왕조 시작
913,서기 913년,"불가리아인, 콘스탄티노플 포위"
947,서기 947년,콘스탄티누스 7세의 궁정에서 마케도니아 왕조의
963,서기 963년,르네상스 개화
976,서기 976년,니케포루스 2세 즉위
996,서기 996년,"바실리우스 2세 즉위. 비잔틴 제국의 최전성기 바실리우스 2세, 반귀족적 신법 반포"
1018,서기 1018년,"바실리우스 2세, 제1차 불가리아 제국 멸함"
1042,서기 1042년,콘스탄티노플에 법과대학과 철학대학 설립
1054,서기 1054년,동서 교회의 분열
1057,서기 1057년,이사키우스 1세 즉위
1071,서기 1071년,만지케르트 전투. 로마누스 4세가 셀주크 투르크
1081,서기 1081년,군의 포로가 됨 알렉시우스 1세 즉위
1155,서기 1155년,"비잔틴 군, 이탈리아 반도 동부 점령"
1171,서기 1171년,비잔틴 제국과 베네치아 단교
1204,서기 1204년,제4회 십자군의 콘스탄티노플 점령. 비잔틴 제국.
1261,서기 1261년,일시 멸망 니케아 제국의 콘스탄티노플 점령. 라틴 제국 멸망.
1331,서기 1331년,"비잔틴 제국 재건. 팔라이올로구스 왕조 성립 오스만투르크, 니케아 점령"
1340,서기 1340년,"안드로니코스 3세, 에피루스 병합"
1389,서기 1389년,코소보 전투. 동구 연합군이 오스만투르크에 패배
1396,서기 1396년,"오스만투르크 군, 콘스탄티노플 포위"
1399,서기 1399년,"마누엘 2세, 서구로 구원 요청 여행 떠남"
1422,서기 1422년,"오스만투르크 군, 콘스탄티노플 포위"
1426,서기 1426년,"맘루크 왕조, 키프로스 점령"
1453,서기 1453년,동로마 제국 멸망
